city,state,datetime,latitude,longitude,co,no,no2,o3,pm10,pm25,humidity,so2,temperature,hour,day_of_week,month,is_weekend,morning_rush,evening_rush,season
Agartala,Tripura,2025-02-19 01:45:00,23.8175497,91.2726974,0.61,1.87,10.04,12.87,47.59,21.5,81.36,16.47,20.63,1,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 02:00:00,23.8175497,91.2726974,0.6,2.06,10.6,14.03,44.08,18.99,81.27,16.23,20.56,2,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 02:15:00,23.8175497,91.2726974,0.57,1.95,9.49,13.61,40.07,16.8,81.03,16.38,20.53,2,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 02:30:00,23.8175497,91.2726974,0.54,1.81,9.35,15.29,40.07,16.8,80.71,16.42,20.54,2,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 02:45:00,23.8175497,91.2726974,0.53,1.96,9.56,13.04,40.07,16.8,80.44,16.28,20.52,2,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 03:00:00,23.8175497,91.2726974,0.52,1.83,9.05,13.64,40.66,15.59,80.14,16.3,20.48,3,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 03:15:00,23.8175497,91.2726974,0.51,2.06,9.49,12.56,41.33,14.53,80.33,16.24,20.37,3,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 03:30:00,23.8175497,91.2726974,0.51,1.96,9.24,11.84,41.33,14.53,80.78,16.33,20.17,3,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 03:45:00,23.8175497,91.2726974,0.5,1.72,9.17,11.96,41.33,14.53,81.65,16.31,20.0,3,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 04:00:00,23.8175497,91.2726974,0.49,1.83,9.01,9.1,38.49,11.75,82.63,16.13,19.83,4,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 04:15:00,23.8175497,91.2726974,0.49,2.42,9.28,9.17,35.24,9.32,83.68,16.1,19.66,4,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 04:30:00,23.8175497,91.2726974,0.48,2.13,9.21,7.06,35.24,9.32,84.19,15.9,19.53,4,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 04:45:00,23.8175497,91.2726974,0.47,2.01,9.39,9.53,35.24,9.32,84.23,16.07,19.44,4,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 05:00:00,23.8175497,91.2726974,0.47,2.16,9.48,8.56,36.44,11.21,84.15,16.21,19.42,5,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 05:15:00,23.8175497,91.2726974,0.47,2.34,9.74,9.4,38.05,13.1,84.23,16.26,19.42,5,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 05:30:00,23.8175497,91.2726974,0.48,2.32,9.73,9.24,38.05,13.1,84.8,16.29,19.47,5,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 05:45:00,23.8175497,91.2726974,0.5,2.33,10.39,8.33,38.05,13.1,84.36,16.37,19.87,5,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 06:00:00,23.8175497,91.2726974,0.52,2.87,11.49,6.74,37.85,13.93,83.94,16.28,20.11,6,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 06:15:00,23.8175497,91.2726974,0.54,3.49,12.01,4.87,37.67,14.66,84.52,16.24,19.94,6,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 06:30:00,23.8175497,91.2726974,0.59,7.83,12.22,5.16,37.67,14.66,85.41,16.24,19.77,6,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 06:45:00,23.8175497,91.2726974,0.61,9.77,13.04,4.91,37.67,14.66,85.83,16.29,19.8,6,2,2,0,0,0,1
Agartala,Tripura,2025-02-19 07:00:00,23.8175497,91.2726974,0.68,13.74,15.35,7.04,39.01,13.38,85.19,16.42,20.42,7,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 07:15:00,23.8175497,91.2726974,0.68,12.84,17.16,5.56,40.36,12.1,82.34,16.69,21.57,7,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 07:30:00,23.8175497,91.2726974,0.65,9.43,18.57,7.67,40.36,12.1,78.77,16.69,22.89,7,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 07:45:00,23.8175497,91.2726974,0.59,6.02,19.05,8.53,40.36,12.1,76.53,17.06,24.03,7,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 08:00:00,23.8175497,91.2726974,0.55,4.19,17.97,11.65,42.06,15.02,75.94,17.19,24.62,8,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 08:15:00,23.8175497,91.2726974,0.51,3.63,17.27,11.65,43.76,17.93,73.47,17.35,25.85,8,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 08:30:00,23.8175497,91.2726974,0.48,3.08,15.86,16.27,43.76,17.93,72.09,17.71,26.61,8,2,2,0,1,0,1
Agartala,Tripura,2025-02-19 08:45:00,23.8175497,91.2726974,0.48,2.59,14.94,17.54,43.76,17.93,69.04,17.97,27.8,8,2,2,0,1,0,1
